radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
UMTS,212,1,104,362499,0,20.730301,42.215298,1000,1,1,1492540200,1492540200,0
UMTS,212,1,104,361218,0,20.730243,42.214809,1000,3,1,1492540200,1492540200,0
UMTS,212,1,104,361219,0,20.729719,42.214981,1000,1,1,1492540200,1492540200,0
UMTS,212,1,15100,76779,0,21.170811,42.665146,1000,1,1,1492540200,1492540200,0
UMTS,212,1,15100,76777,0,21.180291,42.663312,1897,4,1,1492540200,1494677069,0
UMTS,212,1,15100,76858,0,21.161464,42.659116,1317,3,1,1492540200,1494699511,0
GSM,212,1,107,21615,-1,20.744747,42.218266,1000,1,1,1492540200,1492540200,0
GSM,212,1,107,21685,-1,20.737727,42.21072,2024,3,1,1492540200,1492540200,0
GSM,212,1,107,23315,-1,20.746473,42.217491,1000,1,1,1492540200,1492540200,0
GSM,212,1,107,33915,-1,20.746473,42.217491,1000,1,1,1492540200,1492540200,0
GSM,212,1,107,14395,-1,20.744747,42.218266,1000,1,1,1492540200,1492540200,0
GSM,212,1,107,25015,-1,20.680307,42.263435,1000,1,1,1492540200,1492540200,0
GSM,212,1,107,19585,-1,20.681734,42.264069,1288,2,1,1492540200,1492540200,0
GSM,212,1,107,31485,-1,20.691026,42.253224,1000,2,1,1492540200,1492540200,0
GSM,212,1,106,28685,-1,20.603328,42.331017,1286,2,1,1492540200,1492540200,0
GSM,212,1,106,36885,-1,20.630864,42.317925,1450,2,1,1492540200,1492540200,0
GSM,212,1,106,26085,-1,20.617874,42.326752,1000,1,1,1492540200,1492540200,0
GSM,212,1,107,17785,-1,20.658758,42.299155,1651,2,1,1492540200,1492540200,0
GSM,212,1,107,22015,-1,20.727091,42.223274,1000,1,1,1492540200,1492540200,0
UMTS,212,1,15100,76567,0,21.169321,42.66441,1000,1,1,1492540200,1492540200,0
LTE,212,1,30100,765442,0,21.104303,42.641811,1000,1,1,1492540200,1492540200,0
UMTS,212,1,15205,145083,0,20.292887,42.662289,1000,1,1,1492540200,1492540200,0
UMTS,212,1,15205,144581,0,20.292887,42.662289,1000,1,1,1492540200,1492540200,0
UMTS,212,1,15100,76728,0,21.160936,42.665882,1000,1,1,1492540200,1492540200,0
GSM,212,1,102,35811,-1,21.10896,42.586645,1000,2,1,1492540200,1494605469,0
UMTS,212,1,15100,77841,0,21.158422,42.647491,1000,1,1,1492540200,1492540200,0
UMTS,212,1,15100,76928,0,21.108868,42.588131,1000,1,1,1493767633,1493767633,0
GSM,212,1,107,19185,-1,20.719017,42.195881,1000,1,1,1493748535,1493748535,0
GSM,212,1,107,24215,-1,20.73101,42.205296,1000,1,1,1493716761,1493716761,0
LTE,212,1,30100,765440,0,21.106491,42.641575,1000,1,1,1493737201,1493737201,0
LTE,212,1,30100,358400,0,21.104156,42.641452,1000,12,1,1493739767,1493749526,0
LTE,212,1,30100,609282,0,21.140598,42.65073,2520,3,1,1493736333,1493736884,0
LTE,212,1,30100,558080,0,21.164663,42.658287,1000,1,1,1493735975,1493735975,0
LTE,212,1,30100,358402,0,21.163452,42.644764,1000,1,1,1493801679,1493801679,0
UMTS,212,1,15100,76747,0,21.16485,42.661907,1000,1,1,1493735777,1493735777,0
GSM,212,1,100,21510,-1,21.142588,42.64769,1000,1,1,1493808750,1493808750,0
GSM,212,1,107,33715,-1,20.719934,42.201488,1000,1,1,1493809414,1493809414,0
GSM,212,1,107,24195,-1,20.733992,42.209686,1000,1,1,1494071059,1494071059,0
GSM,212,1,107,19085,-1,20.718602,42.201365,1000,3,1,1494079407,1494775274,0
